ncbi_id	gene_symbol	entrez_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_007376	Pzp	11287	0.190729724862734	0.0246171857129638	7.63235692555063	0.00322537139616119	0.997426530422125	NA
NR_033223	Aanat	11298	0.387586397866636	0.986149280519355	5.15412589654657	0.191332012510619	0.848265481998442	NA
NM_007377	Aatk	11302	361.421988487848	0.0568928418577268	0.284361128834086	0.200072499680227	0.841423880592385	0.969907738590248
NM_013454	Abca1	11303	234.379867419116	0.46984614190524	0.362284058296817	1.29689985287815	0.194665647149203	0.594869003328056
NM_007378	Abca4	11304	1.92634792859501	0.986205667350358	2.64568668526233	0.372759810465832	0.709327217036161	NA
NM_007379	Abca2	11305	1179.83687354829	0.357724551897487	0.145982370530959	2.45046405669665	0.0142672206192089	0.153070643773056
NM_009592	Abcb7	11306	1640.64172787995	-0.0160467002904391	0.159412324130188	-0.100661604289353	0.919819091843131	0.988255293349112
NM_009593	Abcg1	11307	1128.82878322528	0.183518262540705	0.218820895075305	0.838668823091821	0.401655178164226	0.788391162726355
NM_145994	Abi1	11308	2923.77053467856	-0.138847773723654	0.0673872524490964	-2.06044568783299	0.0393559529955627	0.269756039570392
NM_009594	Abl1	11350	1563.04411250769	0.0887877194302162	0.168676439618576	0.526378904078066	0.598624970161566	0.886049513536193
NM_009595	Abl2	11352	348.337931014831	-0.103836248667826	0.137141212917307	-0.757148390764465	0.448960965574825	0.819982583173421
NM_009596	Scgb1b27	11354	0	NA	NA	NA	NA	NA
NM_007381	Acadl	11363	1493.13327661002	-0.295809874684843	0.115661931145686	-2.55753878354534	0.0105415802299962	0.130936800739423
NM_007382	Acadm	11364	497.664782835954	0.00726979960382799	0.162947930522715	0.0446142493525843	0.964414784628601	0.998698202882023
NM_017366	Acadvl	11370	213.026142918556	-0.121159438994637	0.14667660233145	-0.826031126088192	0.408786435305404	0.792099099159358
NM_007383	Acads	11409	609.007011900916	0.139136621539494	0.13893288925835	1.00146640786233	0.316601372639189	0.720214844899852
NM_015728	Slc33a1	11416	583.611075143757	0.0480171378719632	0.118191647546497	0.406265069222198	0.684547848241947	0.918867774126747
NM_007384	Asic2	11418	0	NA	NA	NA	NA	NA
NM_001289791	Asic1	11419	7.93337637441185	0.725176487773545	0.71742969383263	1.01079798342264	0.31211312849812	NA
NM_207624	Ace	11421	193.582611706988	-0.290869861513884	0.743637361636738	-0.391144765606831	0.695690232975698	0.921828294229157
NM_009599	Ache	11423	29.7424547210376	0.921738797477968	1.62441973817707	0.567426494406149	0.570424453642387	0.876217381911771
NM_007385	Apoc4	11425	2.76520285216712	-3.4059844092435	1.61734586600599	-2.10590973819009	0.0352121936136944	NA
NM_001199137	Macf1	11426	2875.71563238446	0.415070539364679	0.153051661921198	2.71196362165861	0.00668859328683261	0.0986732822417835
NM_007386	Aco1	11428	1278.6387733183	0.0589725050367328	0.101941585190808	0.578493113741089	0.562931245259174	0.87272908563709
NM_080633	Aco2	11429	2818.15519347684	0.0501101598076989	0.095280939541873	0.525920084842122	0.598943733297619	0.886201378078634
NM_015729	Acox1	11430	902.477725450116	-0.108575018763666	0.0786826906874819	-1.37990983550515	0.167614407896211	0.559885723925255
NM_021330	Acp1	11431	118.719711445888	-0.240050157476242	0.1887801809815	-1.27158558821261	0.203520399975446	0.605416900553942
NM_007387	Acp2	11432	633.862705090107	-0.0882243520931385	0.129849984288815	-0.679432905412665	0.496863606379759	0.843019219139209
NM_007388	Acp5	11433	272.759241683597	-0.430449734494906	0.279478684203054	-1.54018806737391	0.123514517685117	0.487120447924847
NM_013455	Acr	11434	0.116866469999164	0.0245334235609276	7.63235692563364	0.00321439678463293	0.997435286849832	NA
NM_007389	Chrna1	11435	0.0622762958948635	0.0244879860354635	7.63235692568336	0.00320844350885372	0.997440036852168	NA
NM_015730	Chrna4	11438	0.0244494929979105	0.0244599715604188	7.63235692568335	0.00320477302078333	0.997442965462874	NA
NM_021369	Chrna6	11440	0.0245407127824318	0.0244522861581576	7.63235692568721	0.00320376607072211	0.997443768888657	NA
NM_007390	Chrna7	11441	0	NA	NA	NA	NA	NA
NM_009601	Chrnb1	11443	12.5050705701347	0.59179276429901	0.549919668755838	1.0761440223404	0.281862850092244	0.691343079636528
NM_009602	Chrnb2	11444	19.5845495474496	-0.340628883723881	0.407252377090683	-0.836407355451811	0.402925776041246	0.789593842080829
NM_021600	Chrnd	11447	0.45407303286883	0.0243608391235628	7.0718367790562	0.00344476829495122	0.997251477997773	NA
NM_009603	Chrne	11448	1.52945809243945	-0.716951851191568	1.32259350964993	-0.542080273311892	0.587763207586754	NA
NM_009604	Chrng	11449	0.0568942725422315	-0.937281364628697	7.63235692568721	-0.122803659964357	0.902262575967928	NA
NM_009605	Adipoq	11450	1.03093109166697	0.986204861429987	1.9608261607431	0.502953745301033	0.614996792924498	NA
NM_007391	Acrv1	11451	0.0258006223876325	0.0244522861581573	7.63235692568721	0.00320376607072207	0.997443768888657	NA
NM_009606	Acta1	11459	9.14542593818577	0.0303547216440573	0.506031630010947	0.059985818758801	0.952166929341328	0.998698202882023
NM_007393	Actb	11461	163729.066519815	-0.289300061729281	0.140278214705505	-2.06233065010578	0.0391762668627866	0.268989266820714
NM_009608	Actc1	11464	0.588627915969119	1.92211430366469	2.48892493155918	0.772266884907851	0.439956374386425	NA
NM_009609	Actg1	11465	238.181517060721	-0.137295817875103	0.186835438997933	-0.734848905600945	0.462431518770971	0.827499548356724
NM_009610	Actg2	11468	0.75255782988279	-0.889782622092767	2.05305449169761	-0.433394547339576	0.664728161135728	NA
NM_009611	Actl7a	11470	0.499165002467146	-0.937309599019379	3.79518058336751	-0.246973649456146	0.804928617167844	NA
NM_025271	Actl7b	11471	0.529605634403324	0.024402367422011	3.17504260565992	0.00768568187983072	0.99386777346037	NA
NM_033268	Actn2	11472	0.703317869614233	0.0244967771253972	3.57828663467967	0.00684595160375972	0.994537763577877	NA
NM_013456	Actn3	11474	2.31244983582334	-1.29921928680282	1.41271666496604	-0.919660197279577	0.357750358576248	NA
NM_007392	Acta2	11475	365.024970006914	-1.29295190977112	0.301514688221806	-4.28818880233117	1.80135950322547e-05	0.00223274757592499
NM_007394	Acvr1	11477	78.2401068093174	0.400389458033132	0.359404261495463	1.11403647905323	0.265263537315626	0.675593071600736
NM_007395	Acvr1b	11479	459.034904066383	-0.0619387594117545	0.167217944475185	-0.370407372283818	0.711078981562107	0.927450268728215
NM_007396	Acvr2a	11480	41.4450014623725	-0.391363094481918	0.365779570607991	-1.06994246242731	0.284645208313885	0.693225950697527
NM_007397	Acvr2b	11481	103.636814520189	0.129503352413791	0.224688009465378	0.576369663525574	0.564365344927945	0.873382768324499
NM_009612	Acvrl1	11482	729.753508349507	-0.235931349628409	0.434053658846967	-0.543553417462588	0.586748822589894	0.883727941828509
NM_023113	Aspa	11484	3.31227894046272	0.0244595623972005	2.2538389120936	0.0108524004381839	0.991341207207359	NA
NM_007398	Ada	11486	306.854680083337	0.0682585453432709	0.167574250868244	0.407333137338261	0.683763327784373	0.918503029725249
NM_007399	Adam10	11487	4229.76654414617	-0.104131238810815	0.106070434674588	-0.981717847487634	0.326238870313061	0.730391196120717
NM_009613	Adam11	11488	6.12814674277588	0.350966622999701	0.857929754581706	0.409085500444986	0.682476916565621	NA
NM_007400	Adam12	11489	0.127408174340598	0.985947031675841	7.63235692567578	0.129179890468572	0.897215307955765	NA
NM_009614	Adam15	11490	3905.09495467481	-0.138495478424035	0.197954592823622	-0.699632559409394	0.48415680349365	0.838082892751083
NR_120376	Adam17	11491	1378.99823226189	-0.0530835945708416	0.103098574661698	-0.514881944246343	0.606635518787635	0.889846340195841
NM_009616	Adam19	11492	439.311617628441	-0.510282625040625	0.506347132780274	-1.00777232061875	0.313563776815055	0.717104045390373
NM_009618	Adam2	11495	0	NA	NA	NA	NA	NA
NM_001310440	Adam22	11496	14.9990057815705	-0.455629177752764	0.566527500260727	-0.804249003875495	0.421253182838802	0.80071751159727
NM_009619	Adam3	11497	102.775282062119	-0.207213083091358	0.299755129649502	-0.691274519083787	0.489393041593405	0.841758861219995
NM_009620	Adam4	11498	3.22706846400523	1.23882306107289	1.15387659227648	1.07361833090731	0.282993778366181	NA
NM_007401	Adam5	11499	0	NA	NA	NA	NA	NA
NM_007402	Adam7	11500	0	NA	NA	NA	NA	NA
NM_007403	Adam8	11501	1892.16705176337	-2.06186052614537	0.348504908891986	-5.91630267906618	3.29259051939294e-09	4.89731682378208e-06
NM_007404	Adam9	11502	750.263589310021	-0.454461894269218	0.142690193215781	-3.18495534995852	0.00144776344082816	0.0389676082261847
NM_009621	Adamts1	11504	0.194725636527307	-0.937140570331216	7.63235692561308	-0.12278521293813	0.90227718401561	NA
NM_007405	Adcy6	11512	28.5286139661227	-0.872985463115912	1.62649693651037	-0.536727394635548	0.591455930265639	0.884012738464119
NM_007406	Adcy7	11513	2312.69987079285	-0.0235296052350188	0.110079876554823	-0.21375028725891	0.830741793916744	0.967648267792604
NM_009623	Adcy8	11514	0.224701471662912	0.0245903630320652	7.63235692556466	0.00322185705829604	0.997429334443479	NA
NM_009624	Adcy9	11515	278.999077916628	-0.185076384141448	0.142313807761097	-1.3004808672686	0.193436209587243	0.59368278204983
NM_009625	Adcyap1	11516	0.0499051627672916	0.0244743770880925	7.63235692567849	0.00320666044924475	0.997441459520583	NA
NM_007407	Adcyap1r1	11517	2.05783461718124	0.0246876863920031	5.92812985864665	0.0041644982449219	0.996677220751408	NA
NM_013457	Add1	11518	4207.07174401755	-0.205744973611828	0.110727010051176	-1.85812814341086	0.0631508191113284	0.354930302229496
NM_013458	Add2	11519	98.2311950745339	0.986229924246596	1.74195803737568	0.566161700274013	0.571283863098337	0.876586758182685
NM_007408	Plin2	11520	2417.6489316224	-0.14085407763964	0.222113341241049	-0.634154062302715	0.525980283799012	0.856825770660222
NM_007409	Adh1	11522	0.117892313186372	0.985937786108668	7.63235692563411	0.129178679104653	0.897216266453512	NA
NM_009626	Adh7	11529	0	NA	NA	NA	NA	NA
NM_007410	Adh5	11532	1008.54934460665	-0.0324081748403408	0.114527282884737	-0.282973401830874	0.777197226303839	0.949668288744032
NM_134079	Adk	11534	316.831193725162	0.0754459174502195	0.222112814831211	0.339673861265288	0.734102148248474	0.93698248708481
NM_009627	Adm	11535	0.1962563263525	0.986009258376169	7.63235692561951	0.129188043481881	0.897208856847186	NA
NM_007412	Gpr182	11536	1.44136316515659	-1.53419670955712	1.49501064430327	-1.02621122826327	0.304792029922618	NA
NM_013459	Cfd	11537	1.2204242134767	3.49203783799675	1.66909279609743	2.09217716723816	0.0364226701995646	NA
NM_009628	Adnp	11538	207.518883305688	-0.102247254511318	0.213076134850381	-0.479862536379845	0.631325141833861	0.899657057909965
NM_001291930	Adora1	11539	0.230061263152068	0.0246329275366532	7.63235692556212	0.00322743390762468	0.997424884784637	NA
NM_009630	Adora2a	11540	25.680255961917	0.553317871431326	0.57357087288632	0.964689627014919	0.334700292332559	0.739369274861917
NM_007413	Adora2b	11541	157.410120606488	-0.261568800080838	0.210178526753641	-1.24450772455663	0.213312758187978	0.617987382870742
NM_009631	Adora3	11542	90.9380314352531	-0.543445639908617	0.296537228401352	-1.83263883202241	0.0668562993017811	0.36494324621447
NM_007414	Adprh	11544	1378.39027655416	-0.0189876358686108	0.116268130250227	-0.16330903255902	0.870275122423918	0.976556363798774
NM_007415	Parp1	11545	2158.95489841933	0.240997301863298	0.070809678444829	3.40345143709515	0.000665402407163257	0.02301634663615
NM_009632	Parp2	11546	922.021297437463	0.212314942870719	0.0809489620217094	2.62282477215432	0.00872041101226382	0.117513217027098
NM_007416	Adra1b	11548	0.0216811156358342	0.0244522861581573	7.63235692568721	0.00320376607072207	0.997443768888657	NA
NM_013461	Adra1a	11549	0	NA	NA	NA	NA	NA
NM_013460	Adra1d	11550	0	NA	NA	NA	NA	NA
NM_007417	Adra2a	11551	0.279084726936405	0.0246389549209103	7.63235692558152	0.00322822362228992	0.997424254686781	NA
NM_009633	Adra2b	11552	0.0537681402135319	0.0244724176018103	7.63235692568324	0.00320640371514329	0.997441664363706	NA
NM_007418	Adra2c	11553	0	NA	NA	NA	NA	NA
NM_007419	Adrb1	11554	0.200617697427033	0.0246067979086438	7.63235692557555	0.00322401037432984	0.997427616354785	NA
NM_007420	Adrb2	11555	756.351256748758	-0.400104538757864	0.194248955356391	-2.05975130225945	0.0394223222023409	0.270055389686617
NM_013462	Adrb3	11556	0	NA	NA	NA	NA	NA
NM_009634	Adsl	11564	716.420661034053	0.229820293551648	0.10793844966904	2.12917912251215	0.0332394435162449	0.24658113366571
NM_007421	Adssl1	11565	1224.35176737611	-0.237261102161738	0.106429523954982	-2.22927899463402	0.0257953473639502	0.216764716302008
NM_007422	Adss	11566	1815.0330923156	0.0711543932613448	0.131277347444022	0.542015775354433	0.587807638442304	0.883827817705181
NM_009635	Avil	11567	2.3920511517059	-1.01984339122947	1.674381477759	-0.609086641709886	0.542467011408366	NA
NM_009636	Aebp1	11568	1.52261451018541	-0.279439384074915	1.44021312008818	-0.194026411908958	0.846155201157823	NA
NM_178803	Aebp2	11569	524.681472768791	0.119751771579737	0.176495911312075	0.678496009848043	0.497457252912268	0.843057845944497
