ncbi_id	gene_symbol	entrez_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_007376	Pzp	11287	0.190729724862734	-2.72078701111852	7.57995820545395	-0.358944856603676	0.719636341911287	NA
NR_033223	Aanat	11298	0.387586397866636	0.0550864240223164	5.15457092010374	0.0106869077710173	0.991473243593895	NA
NM_007377	Aatk	11302	361.421988487848	-0.450994396537533	0.276417428761179	-1.63157004447497	0.102770092988649	0.221790450348006
NM_013454	Abca1	11303	234.379867419116	-3.0880550545811	0.339595502182637	-9.09333320003842	9.60483489391291e-20	4.78985727824903e-17
NM_007378	Abca4	11304	1.92634792859501	0.0550869630488525	2.64574687298046	0.0208209498842935	0.983388485769742	NA
NM_007379	Abca2	11305	1179.83687354829	0.197583453938062	0.143428570714275	1.37757388889881	0.168334887263021	0.317069921247806
NM_009592	Abcb7	11306	1640.64172787995	-0.277464394626597	0.159701606320469	-1.73739263504849	0.0823178903555811	0.188308709659574
NM_009593	Abcg1	11307	1128.82878322528	-1.31997821034049	0.213759583026012	-6.1750598109085	6.61384280522067e-10	2.97760714626706e-08
NM_145994	Abi1	11308	2923.77053467856	-0.717561758837149	0.0659710406907951	-10.8769204081583	1.48495319391966e-27	2.75055758748033e-24
NM_009594	Abl1	11350	1563.04411250769	-0.143448802135057	0.167173992957819	-0.858080850956595	0.390847820343907	0.568004128959774
NM_009595	Abl2	11352	348.337931014831	0.098383631820476	0.125883511962486	0.781545019571704	0.434482009225127	0.607784199105217
NM_009596	Scgb1b27	11354	0	NA	NA	NA	NA	NA
NM_007381	Acadl	11363	1493.13327661002	-0.0453410439872443	0.116165210368609	-0.390315171326861	0.696303506124947	0.816816363016019
NM_007382	Acadm	11364	497.664782835954	0.00426679326342832	0.163245688972432	0.0261372492608297	0.979147866589266	0.993673490814851
NM_017366	Acadvl	11370	213.026142918556	-0.020985199310888	0.147541802442081	-0.142232228179034	0.886896576154994	0.948647170964003
NM_007383	Acads	11409	609.007011900916	0.0479697429305412	0.138863314380246	0.345445758259714	0.729759281785137	0.841445873510546
NM_015728	Slc33a1	11416	583.611075143757	0.111098315951847	0.119428057978772	0.930253056376372	0.352240077162172	0.530473981737716
NM_007384	Asic2	11418	0	NA	NA	NA	NA	NA
NM_001289791	Asic1	11419	7.93337637441185	-0.0517373948713282	0.487919100706379	-0.106036830278679	0.915553130562933	0.966484437365804
NM_207624	Ace	11421	193.582611706988	-3.10242296768939	0.732474956853005	-4.23553452396324	2.28008666743286e-05	0.00024452939396141
NM_009599	Ache	11423	29.7424547210376	0.0550870735798767	1.72830716389066	0.0318734277857578	0.974572989424688	0.993673490814851
NM_007385	Apoc4	11425	2.76520285216712	-2.07076837565182	1.64621472849781	-1.25789688295488	0.208429051134285	0.370407219984531
NM_001199137	Macf1	11426	2875.71563238446	-0.576990182036362	0.152275571316633	-3.78911848464914	0.0001511827988196	0.00120927586026831
NM_007386	Aco1	11428	1278.6387733183	-0.233548525466156	0.100371230169885	-2.32684729549354	0.019973394156653	0.0639602441677359
NM_080633	Aco2	11429	2818.15519347684	-0.0492244023337613	0.0950217806669068	-0.518032834033226	0.604435360929255	0.750629367912038
NM_015729	Acox1	11430	902.477725450116	-0.243567523436121	0.0744615251934029	-3.27105203396639	0.00107148193656437	0.00609291631645859
NM_021330	Acp1	11431	118.719711445888	0.0704873224214837	0.198415399842766	0.355251268184533	0.7224013597737	0.836831593927079
NM_007387	Acp2	11432	633.862705090107	-0.570438942570421	0.122654570529581	-4.65077607876704	3.30688230566704e-06	4.88905769387444e-05
NM_007388	Acp5	11433	272.759241683597	-0.610966680138685	0.252140515248086	-2.42311982085681	0.01538785030913	0.0520718062213222
NM_013455	Acr	11434	0.116866469999164	0.0550855507069348	7.63380214917071	0.00721600450607944	0.994242511380056	NA
NM_007389	Chrna1	11435	0.0622762958948635	-0.930092612078747	7.63229178284746	-0.12186282161919	0.903007660169682	NA
NM_015730	Chrna4	11438	0.0244494929979105	-0.930094307459331	7.63229174892533	-0.121863044293386	0.903007483815731	NA
NM_021369	Chrna6	11440	0.0245407127824318	0.0550855507069348	7.63380214917071	0.00721600450607945	0.994242511380056	NA
NM_007390	Chrna7	11441	0	NA	NA	NA	NA	NA
NM_009601	Chrnb1	11443	12.5050705701347	-0.807773012815553	0.486734641156282	-1.6595757616442	0.0969998277806195	0.212677912361616
NM_009602	Chrnb2	11444	19.5845495474496	-0.470212580779755	0.418281775535911	-1.12415268434134	0.260948258214324	0.433440743615091
NM_021600	Chrnd	11447	0.45407303286883	0.0550857778931295	7.07298637447915	0.00778819228210176	0.993785984441102	NA
NM_009603	Chrne	11448	1.52945809243945	-0.789753079990113	1.75858997254027	-0.44908312473164	0.653371693399168	NA
NM_009604	Chrng	11449	0.0568942725422315	0.0550855507069343	7.63380214917071	0.00721600450607938	0.994242511380056	NA
NM_009605	Adipoq	11450	1.03093109166697	-0.0279098186027467	1.75751981122584	-0.0158802298696594	0.987329942293353	NA
NM_007391	Acrv1	11451	0.0258006223876325	0.0550855507069347	7.63380214917071	0.00721600450607943	0.994242511380056	NA
NM_009606	Acta1	11459	9.14542593818577	-0.164484751801889	0.496864953504057	-0.33104518771527	0.740610353191212	0.848343560429676
NM_007393	Actb	11461	163729.066519815	-0.511904716640341	0.140252294033322	-3.64988480344371	0.000262357941183563	0.00188148952731531
NM_009608	Actc1	11464	0.588627915969119	0.0550869613217238	2.65757056871744	0.0207283155413288	0.983462381333924	NA
NM_009609	Actg1	11465	238.181517060721	-1.11752801069735	0.18803052597896	-5.94333289703395	2.79284441851264e-09	1.01878054712497e-07
NM_009610	Actg2	11468	0.75255782988279	-1.79701574369132	1.93108610618519	-0.930572561179721	0.352074713517317	NA
NM_009611	Actl7a	11470	0.499165002467146	-0.925300063318624	3.79249988464651	-0.243981566634871	0.807245096281323	NA
NM_025271	Actl7b	11471	0.529605634403324	0.977256287167464	3.1119947442798	0.31402890026205	0.75349908899289	NA
NM_033268	Actn2	11472	0.703317869614233	-2.03118593960422	3.51098789765871	-0.578522626340784	0.562911325936487	NA
NM_013456	Actn3	11474	2.31244983582334	1.28712762824329	1.2357288948667	1.04159385896866	0.297600017036442	NA
NM_007392	Acta2	11475	365.024970006914	-1.82801802407783	0.291811006482595	-6.26439025077303	3.74287056517271e-10	1.79077711247341e-08
NM_007394	Acvr1	11477	78.2401068093174	-0.894842131960575	0.916388185471815	-0.976488071482341	0.328822656263394	0.505995082021264
NM_007395	Acvr1b	11479	459.034904066383	-0.34380217505687	0.160287951121973	-2.14490342318526	0.0319605694917343	0.0918237855151399
NM_007396	Acvr2a	11480	41.4450014623725	-0.753456832879338	0.364594109448863	-2.06656337377008	0.038775315028163	0.107053639034201
NM_007397	Acvr2b	11481	103.636814520189	0.317515994142467	0.225716984997475	1.40669960723611	0.159516482267922	0.304518655636907
NM_009612	Acvrl1	11482	729.753508349507	-1.84638383304714	0.425354344713867	-4.34081338534156	1.41956248659921e-05	0.000166570562907198
NM_023113	Aspa	11484	3.31227894046272	0.388962020129153	1.7974133337373	0.216400987367995	0.828675196694933	0.910636715005212
NM_007398	Ada	11486	306.854680083337	0.390932674311033	0.152387732683496	2.56538152662844	0.0103062410549461	0.0379760286937716
NM_007399	Adam10	11487	4229.76654414617	-0.264617379420386	0.105741302067782	-2.50249783429716	0.0123320379990689	0.0436639007908049
NM_009613	Adam11	11488	6.12814674277588	1.01688230363423	1.74383021075903	0.58313148686168	0.55980478870033	0.716811069552487
NM_007400	Adam12	11489	0.127408174340598	0.0550855507069324	7.63380214917071	0.00721600450607914	0.994242511380056	NA
NM_009614	Adam15	11490	3905.09495467481	-0.394092088222418	0.197414291280798	-1.99626929573133	0.0459046182692439	0.12159331572605
NR_120376	Adam17	11491	1378.99823226189	-0.599639674460209	0.100557500223762	-5.96315215797811	2.47417825542728e-09	9.19203302575075e-08
